point_A,point_B,n_vuelos,lat_A,long_A,lat_B,long_B,description
Hermosillo,Puerto Vallarta,6,29.07455,-110.95912,20.60841,-105.23525,Se realizaron 6 vuelos entre los aeropuertos de Hermosillo y Puerto Vallarta en Enero 2022
Hermosillo,Queretaro,26,29.07455,-110.95912,20.59209,-100.39601,Se realizaron 26 vuelos entre los aeropuertos de Hermosillo y Queretaro en Enero 2022
Hermosillo,San José Del Cabo,18,29.07455,-110.95912,23.0769,-109.70915,Se realizaron 18 vuelos entre los aeropuertos de Hermosillo y San José Del Cabo en Enero 2022
Hermosillo,San Luis Potosi,20,29.07455,-110.95912,22.15271,-100.97663,Se realizaron 20 vuelos entre los aeropuertos de Hermosillo y San Luis Potosi en Enero 2022
Hermosillo,Tijuana,139,29.07455,-110.95912,32.53507,-117.04097,Se realizaron 139 vuelos entre los aeropuertos de Hermosillo y Tijuana en Enero 2022
Huatulco,Ciudad de Mexico,515,15.83616,-96.322,19.43194,-99.13315,Se realizaron 515 vuelos entre los aeropuertos de Huatulco y Ciudad de Mexico en Enero 2022
Huatulco,Monterrey,18,15.83616,-96.322,25.67093,-100.30999,Se realizaron 18 vuelos entre los aeropuertos de Huatulco y Monterrey en Enero 2022
Huatulco,Tijuana,26,15.83616,-96.322,32.53507,-117.04097,Se realizaron 26 vuelos entre los aeropuertos de Huatulco y Tijuana en Enero 2022
Ixtapa Zihuatanejo,Ciudad de Mexico,389,17.66652,-101.59,19.43194,-99.13315,Se realizaron 389 vuelos entre los aeropuertos de Ixtapa Zihuatanejo y Ciudad de Mexico en Enero 2022
Ixtapa Zihuatanejo,Tijuana,18,17.66652,-101.59,32.53507,-117.04097,Se realizaron 18 vuelos entre los aeropuertos de Ixtapa Zihuatanejo y Tijuana en Enero 2022
"Ixtepec, Oaxaca",Ciudad de Mexico,23,16.56052,-95.10375,19.43194,-99.13315,"Se realizaron 23 vuelos entre los aeropuertos de Ixtepec, Oaxaca y Ciudad de Mexico en Enero 2022"
La Paz,Loreto,13,24.16185,-110.31322,22.27195,-101.98604,Se realizaron 13 vuelos entre los aeropuertos de La Paz y Loreto en Enero 2022
La Paz,Los Mochis,55,24.16185,-110.31322,25.79269,-108.98897,Se realizaron 55 vuelos entre los aeropuertos de La Paz y Los Mochis en Enero 2022
La Paz,Mazatlan,90,24.16185,-110.31322,23.2,-106.42175,Se realizaron 90 vuelos entre los aeropuertos de La Paz y Mazatlan en Enero 2022
La Paz,Ciudad de Mexico,278,24.16185,-110.31322,19.43194,-99.13315,Se realizaron 278 vuelos entre los aeropuertos de La Paz y Ciudad de Mexico en Enero 2022
La Paz,Monterrey,4,24.16185,-110.31322,25.67093,-100.30999,Se realizaron 4 vuelos entre los aeropuertos de La Paz y Monterrey en Enero 2022
La Paz,Puerto Vallarta,30,24.16185,-110.31322,20.60841,-105.23525,Se realizaron 30 vuelos entre los aeropuertos de La Paz y Puerto Vallarta en Enero 2022
La Paz,Tijuana,75,24.16185,-110.31322,32.53507,-117.04097,Se realizaron 75 vuelos entre los aeropuertos de La Paz y Tijuana en Enero 2022
Loreto,Tijuana,39,22.27195,-101.98604,32.53507,-117.04097,Se realizaron 39 vuelos entre los aeropuertos de Loreto y Tijuana en Enero 2022
Los Mochis,Los Cabos,46,25.79269,-108.98897,23.06158,-109.69529,Se realizaron 46 vuelos entre los aeropuertos de Los Mochis y Los Cabos en Enero 2022
Los Mochis,Ciudad de Mexico,130,25.79269,-108.98897,19.43194,-99.13315,Se realizaron 130 vuelos entre los aeropuertos de Los Mochis y Ciudad de Mexico en Enero 2022
Los Mochis,Monterrey,18,25.79269,-108.98897,25.67093,-100.30999,Se realizaron 18 vuelos entre los aeropuertos de Los Mochis y Monterrey en Enero 2022
Los Mochis,Tijuana,82,25.79269,-108.98897,32.53507,-117.04097,Se realizaron 82 vuelos entre los aeropuertos de Los Mochis y Tijuana en Enero 2022
Los Cabos,Mazatlan,54,23.06158,-109.69529,23.2,-106.42175,Se realizaron 54 vuelos entre los aeropuertos de Los Cabos y Mazatlan en Enero 2022
Manzanillo,Ciudad de Mexico,130,19.08552,-104.30856,19.43194,-99.13315,Se realizaron 130 vuelos entre los aeropuertos de Manzanillo y Ciudad de Mexico en Enero 2022
Matamoros,Ciudad de Mexico,56,25.88015,-97.50357,19.43194,-99.13315,Se realizaron 56 vuelos entre los aeropuertos de Matamoros y Ciudad de Mexico en Enero 2022
Mazatlan,Ciudad de Mexico,348,23.2,-106.42175,19.43194,-99.13315,Se realizaron 348 vuelos entre los aeropuertos de Mazatlan y Ciudad de Mexico en Enero 2022
Mazatlan,Monterrey,64,23.2,-106.42175,25.67093,-100.30999,Se realizaron 64 vuelos entre los aeropuertos de Mazatlan y Monterrey en Enero 2022
Mazatlan,Puerto Vallarta,1,23.2,-106.42175,20.60841,-105.23525,Se realizaron 1 vuelos entre los aeropuertos de Mazatlan y Puerto Vallarta en Enero 2022
Mazatlan,Queretaro,35,23.2,-106.42175,20.59209,-100.39601,Se realizaron 35 vuelos entre los aeropuertos de Mazatlan y Queretaro en Enero 2022
Mazatlan,Tijuana,194,23.2,-106.42175,32.53507,-117.04097,Se realizaron 194 vuelos entre los aeropuertos de Mazatlan y Tijuana en Enero 2022
Merida,Ciudad de Mexico,924,20.9667,-89.62317,19.43194,-99.13315,Se realizaron 924 vuelos entre los aeropuertos de Merida y Ciudad de Mexico en Enero 2022
Merida,Monterrey,131,20.9667,-89.62317,25.67093,-100.30999,Se realizaron 131 vuelos entre los aeropuertos de Merida y Monterrey en Enero 2022
Merida,Oaxaca,18,20.9667,-89.62317,17.06173,-96.7261,Se realizaron 18 vuelos entre los aeropuertos de Merida y Oaxaca en Enero 2022
Merida,San Luis Potosi,1,20.9667,-89.62317,22.15271,-100.97663,Se realizaron 1 vuelos entre los aeropuertos de Merida y San Luis Potosi en Enero 2022
Merida,Tijuana,18,20.9667,-89.62317,32.53507,-117.04097,Se realizaron 18 vuelos entre los aeropuertos de Merida y Tijuana en Enero 2022
Merida,Tuxtla Gutierrez,28,20.9667,-89.62317,16.75519,-93.11544,Se realizaron 28 vuelos entre los aeropuertos de Merida y Tuxtla Gutierrez en Enero 2022
Merida,Veracruz,30,20.9667,-89.62317,19.19535,-96.13683,Se realizaron 30 vuelos entre los aeropuertos de Merida y Veracruz en Enero 2022
Merida,Villahermosa,62,20.9667,-89.62317,17.99864,-92.90197,Se realizaron 62 vuelos entre los aeropuertos de Merida y Villahermosa en Enero 2022
Mexicali,Ciudad de Mexico,292,32.6411,-115.4745,19.43194,-99.13315,Se realizaron 292 vuelos entre los aeropuertos de Mexicali y Ciudad de Mexico en Enero 2022
Mexicali,Morelia,10,32.6411,-115.4745,19.70295,-101.19365,Se realizaron 10 vuelos entre los aeropuertos de Mexicali y Morelia en Enero 2022
Ciudad de Mexico,Minatitlan,117,19.43194,-99.13315,17.98235,-94.54235,Se realizaron 117 vuelos entre los aeropuertos de Ciudad de Mexico y Minatitlan en Enero 2022
Ciudad de Mexico,Monterrey,1459,19.43194,-99.13315,25.67093,-100.30999,"Se realizaron 1,459 vuelos entre los aeropuertos de Ciudad de Mexico y Monterrey en Enero 2022"
Ciudad de Mexico,Morelia,30,19.43194,-99.13315,19.70295,-101.19365,Se realizaron 30 vuelos entre los aeropuertos de Ciudad de Mexico y Morelia en Enero 2022
Ciudad de Mexico,Nuevo Laredo,58,19.43194,-99.13315,27.49382,-99.50653,Se realizaron 58 vuelos entre los aeropuertos de Ciudad de Mexico y Nuevo Laredo en Enero 2022
Ciudad de Mexico,Oaxaca,489,19.43194,-99.13315,17.06173,-96.7261,Se realizaron 489 vuelos entre los aeropuertos de Ciudad de Mexico y Oaxaca en Enero 2022
Ciudad de Mexico,Piedras Negras,25,19.43194,-99.13315,28.721800000000002,-100.56787,Se realizaron 25 vuelos entre los aeropuertos de Ciudad de Mexico y Piedras Negras en Enero 2022
Ciudad de Mexico,Puerto Escondido,464,19.43194,-99.13315,15.87124,-97.08704,Se realizaron 464 vuelos entre los aeropuertos de Ciudad de Mexico y Puerto Escondido en Enero 2022
Ciudad de Mexico,Puerto Vallarta,705,19.43194,-99.13315,20.60841,-105.23525,Se realizaron 705 vuelos entre los aeropuertos de Ciudad de Mexico y Puerto Vallarta en Enero 2022
Ciudad de Mexico,Queretaro,188,19.43194,-99.13315,20.59209,-100.39601,Se realizaron 188 vuelos entre los aeropuertos de Ciudad de Mexico y Queretaro en Enero 2022
Ciudad de Mexico,Reynosa,240,19.43194,-99.13315,26.09279,-98.27749,Se realizaron 240 vuelos entre los aeropuertos de Ciudad de Mexico y Reynosa en Enero 2022
Ciudad de Mexico,San José Del Cabo,678,19.43194,-99.13315,23.0769,-109.70915,Se realizaron 678 vuelos entre los aeropuertos de Ciudad de Mexico y San José Del Cabo en Enero 2022
Ciudad de Mexico,San Luis Potosi,284,19.43194,-99.13315,22.15271,-100.97663,Se realizaron 284 vuelos entre los aeropuertos de Ciudad de Mexico y San Luis Potosi en Enero 2022
Ciudad de Mexico,Tampico,275,19.43194,-99.13315,22.25172,-97.86479,Se realizaron 275 vuelos entre los aeropuertos de Ciudad de Mexico y Tampico en Enero 2022
Ciudad de Mexico,Tapachula,282,19.43194,-99.13315,14.91117,-92.2646,Se realizaron 282 vuelos entre los aeropuertos de Ciudad de Mexico y Tapachula en Enero 2022
Ciudad de Mexico,Tepic,46,19.43194,-99.13315,21.51198,-104.89164,Se realizaron 46 vuelos entre los aeropuertos de Ciudad de Mexico y Tepic en Enero 2022
Ciudad de Mexico,Tijuana,1298,19.43194,-99.13315,32.53507,-117.04097,"Se realizaron 1,298 vuelos entre los aeropuertos de Ciudad de Mexico y Tijuana en Enero 2022"
Ciudad de Mexico,Torreon,345,19.43194,-99.13315,25.53938,-103.45327,Se realizaron 345 vuelos entre los aeropuertos de Ciudad de Mexico y Torreon en Enero 2022
